result = inputNumber=316, squareRes=17.776388834631177, delay=153, status=PASS
result = inputNumber=384, squareRes=19.595917942265423, delay=159, status=PASS
result = inputNumber=859, squareRes=29.30870177950569, delay=141, status=PASS
result = inputNumber=45, squareRes=6.708203932499369, delay=166, status=PASS
result = inputNumber=653, squareRes=25.553864678361276, delay=157, status=PASS
result = inputNumber=49, squareRes=7.0, delay=158, status=PASS
result = inputNumber=443, squareRes=21.047565179849187, delay=176, status=PASS
result = inputNumber=480, squareRes=21.908902300206645, delay=138, status=PASS
result = inputNumber=532, squareRes=23.065125189341593, delay=144, status=PASS
result = inputNumber=791, squareRes=28.124722220850465, delay=142, status=PASS
result = inputNumber=299, squareRes=17.291616465790582, delay=162, status=PASS
result = inputNumber=898, squareRes=29.966648127543394, delay=153, status=PASS
result = inputNumber=830, squareRes=28.809720581775867, delay=188, status=PASS
result = inputNumber=405, squareRes=20.12461179749811, delay=188, status=PASS
result = inputNumber=251, squareRes=15.84297951775486, delay=154, status=PASS
result = inputNumber=529, squareRes=23.0, delay=176, status=PASS
result = inputNumber=977, squareRes=31.25699921617557, delay=153, status=PASS
result = inputNumber=607, squareRes=24.63736998950984, delay=167, status=PASS
result = inputNumber=2, squareRes=1.4142135623730951, delay=164, status=PASS
result = inputNumber=73, squareRes=8.54400374531753, delay=173, status=PASS
result = inputNumber=327, squareRes=18.083141320025124, delay=193, status=PASS
result = inputNumber=33, squareRes=5.744562646538029, delay=154, status=PASS
result = inputNumber=46, squareRes=6.782329983125268, delay=148, status=PASS
result = inputNumber=1, squareRes=1.0, delay=173, status=PASS
result = inputNumber=730, squareRes=27.018512172212592, delay=148, status=PASS
result = inputNumber=624, squareRes=24.979991993593593, delay=158, status=PASS
result = inputNumber=857, squareRes=29.274562336608895, delay=181, status=PASS
result = inputNumber=91, squareRes=9.539392014169456, delay=182, status=PASS
result = inputNumber=432, squareRes=20.784609690826528, delay=156, status=PASS
result = inputNumber=406, squareRes=20.149441679609886, delay=160, status=PASS
result = inputNumber=675, squareRes=25.98076211353316, delay=191, status=PASS
result = inputNumber=212, squareRes=14.560219778561036, delay=182, status=PASS
result = inputNumber=728, squareRes=26.981475126464083, delay=145, status=PASS
result = inputNumber=880, squareRes=29.664793948382652, delay=171, status=PASS
result = inputNumber=529, squareRes=23.0, delay=180, status=PASS
result = inputNumber=436, squareRes=20.8806130178211, delay=145, status=PASS
result = inputNumber=639, squareRes=25.278449319529077, delay=189, status=PASS
result = inputNumber=822, squareRes=28.6705423736629, delay=155, status=PASS
result = inputNumber=718, squareRes=26.795522013948524, delay=154, status=PASS
result = inputNumber=936, squareRes=30.59411708155671, delay=197, status=PASS
result = inputNumber=96, squareRes=9.797958971132712, delay=171, status=PASS
result = inputNumber=654, squareRes=25.573423705088842, delay=182, status=PASS
result = inputNumber=868, squareRes=29.46183972531247, delay=155, status=PASS
result = inputNumber=780, squareRes=27.92848008753788, delay=160, status=PASS
result = inputNumber=629, squareRes=25.079872407968907, delay=141, status=PASS
result = inputNumber=587, squareRes=24.228082879171435, delay=143, status=PASS
result = inputNumber=303, squareRes=17.406895185529212, delay=180, status=PASS
result = inputNumber=8, squareRes=2.8284271247461903, delay=155, status=PASS
result = inputNumber=652, squareRes=25.534290669607408, delay=164, status=PASS
result = inputNumber=112, squareRes=10.583005244258363, delay=166, status=PASS
result = inputNumber=672, squareRes=25.92296279363144, delay=147, status=PASS
result = inputNumber=68, squareRes=8.246211251235321, delay=152, status=PASS
result = inputNumber=186, squareRes=13.638181696985855, delay=159, status=PASS
result = inputNumber=490, squareRes=22.135943621178654, delay=171, status=PASS
result = inputNumber=900, squareRes=30.0, delay=177, status=PASS
result = inputNumber=405, squareRes=20.12461179749811, delay=178, status=PASS
result = inputNumber=493, squareRes=22.20360331117452, delay=147, status=PASS
result = inputNumber=51, squareRes=7.14142842854285, delay=184, status=PASS
result = inputNumber=250, squareRes=15.811388300841896, delay=158, status=PASS
result = inputNumber=235, squareRes=15.329709716755891, delay=194, status=PASS
result = inputNumber=340, squareRes=18.439088914585774, delay=159, status=PASS
result = inputNumber=398, squareRes=19.949937343260004, delay=157, status=PASS
result = inputNumber=535, squareRes=23.130067012440755, delay=165, status=PASS
result = inputNumber=424, squareRes=20.591260281974, delay=155, status=PASS
result = inputNumber=742, squareRes=27.23967694375247, delay=141, status=PASS
result = inputNumber=818, squareRes=28.600699292150182, delay=154, status=PASS
result = inputNumber=143, squareRes=11.958260743101398, delay=175, status=PASS
result = inputNumber=20, squareRes=4.47213595499958, delay=162, status=PASS
result = inputNumber=578, squareRes=24.041630560342615, delay=162, status=PASS
result = inputNumber=247, squareRes=15.716233645501712, delay=171, status=PASS
result = inputNumber=44, squareRes=6.6332495807108, delay=174, status=PASS
result = inputNumber=396, squareRes=19.8997487421324, delay=149, status=PASS
result = inputNumber=278, squareRes=16.673332000533065, delay=141, status=PASS
result = inputNumber=352, squareRes=18.76166303929372, delay=178, status=PASS
result = inputNumber=95, squareRes=9.746794344808963, delay=173, status=PASS
result = inputNumber=504, squareRes=22.44994432064365, delay=175, status=PASS
result = inputNumber=733, squareRes=27.073972741361768, delay=179, status=PASS
result = inputNumber=83, squareRes=9.1104335791443, delay=179, status=PASS
result = inputNumber=657, squareRes=25.632011235952593, delay=192, status=PASS
result = inputNumber=316, squareRes=17.776388834631177, delay=183, status=PASS
result = inputNumber=950, squareRes=30.822070014844883, delay=184, status=PASS
result = inputNumber=438, squareRes=20.92844953645635, delay=172, status=PASS
result = inputNumber=920, squareRes=30.331501776206203, delay=151, status=PASS
result = inputNumber=601, squareRes=24.515301344262525, delay=202, status=FAIL
result = inputNumber=609, squareRes=24.677925358506133, delay=156, status=PASS
result = inputNumber=928, squareRes=30.463092423455635, delay=205, status=FAIL
result = inputNumber=670, squareRes=25.88435821108957, delay=162, status=PASS
result = inputNumber=759, squareRes=27.54995462791182, delay=186, status=PASS
result = inputNumber=77, squareRes=8.774964387392123, delay=310, status=FAIL
result = inputNumber=470, squareRes=21.6794833886788, delay=199, status=PASS
result = inputNumber=165, squareRes=12.84523257866513, delay=192, status=PASS
result = inputNumber=662, squareRes=25.729360660537214, delay=194, status=PASS
result = inputNumber=558, squareRes=23.62202362203543, delay=178, status=PASS
result = inputNumber=291, squareRes=17.05872210923198, delay=169, status=PASS
result = inputNumber=898, squareRes=29.966648127543394, delay=196, status=PASS
result = inputNumber=320, squareRes=17.88854381999832, delay=156, status=PASS
result = inputNumber=202, squareRes=14.212670403551895, delay=164, status=PASS
result = inputNumber=745, squareRes=27.294688127912362, delay=177, status=PASS
