inputNumber=110, squareRes=10.488088481701515, delay=149, status=PASS
inputNumber=697, squareRes=26.40075756488817, delay=155, status=PASS
inputNumber=920, squareRes=30.331501776206203, delay=157, status=PASS
inputNumber=721, squareRes=26.851443164195103, delay=144, status=PASS
inputNumber=514, squareRes=22.67156809750927, delay=164, status=PASS
inputNumber=941, squareRes=30.675723300355934, delay=158, status=PASS
inputNumber=592, squareRes=24.331050121192877, delay=179, status=PASS
inputNumber=728, squareRes=26.981475126464083, delay=164, status=PASS
inputNumber=683, squareRes=26.13426869074396, delay=167, status=PASS
inputNumber=429, squareRes=20.71231517720798, delay=175, status=PASS
inputNumber=562, squareRes=23.706539182259394, delay=159, status=PASS
inputNumber=881, squareRes=29.68164415931166, delay=152, status=PASS
inputNumber=136, squareRes=11.661903789690601, delay=155, status=PASS
inputNumber=552, squareRes=23.49468024894146, delay=166, status=PASS
inputNumber=611, squareRes=24.71841418861655, delay=175, status=PASS
inputNumber=655, squareRes=25.592967784139454, delay=152, status=PASS
inputNumber=141, squareRes=11.874342087037917, delay=140, status=PASS
inputNumber=27, squareRes=5.196152422706632, delay=165, status=PASS
inputNumber=147, squareRes=12.12435565298214, delay=147, status=PASS
inputNumber=463, squareRes=21.517434791350013, delay=159, status=PASS
inputNumber=392, squareRes=19.79898987322333, delay=153, status=PASS
inputNumber=397, squareRes=19.924858845171276, delay=156, status=PASS
inputNumber=33, squareRes=5.744562646538029, delay=159, status=PASS
inputNumber=738, squareRes=27.16615541441225, delay=155, status=PASS
inputNumber=598, squareRes=24.454038521274967, delay=171, status=PASS
inputNumber=663, squareRes=25.748786379167466, delay=132, status=PASS
inputNumber=203, squareRes=14.247806848775006, delay=162, status=PASS
inputNumber=742, squareRes=27.23967694375247, delay=175, status=PASS
inputNumber=353, squareRes=18.788294228055936, delay=166, status=PASS
